asset,mode,market_cost_bps,trades,total_return,win_rate,avg_net_ret,avg_hold_minutes,tp_hit_rate,sl_hit_rate,timeout_rate,same_bar_conflict_rate,confirmed_at_close_ratio,preview_only_ratio,avg_lead_minutes,avg_entry_improve_bps
LINK-USD,preview_unclosed15m,20.0,62,-0.1701722049074264,0.4354838709677419,-0.0029787099952358,38.62903225806452,0.4032258064516129,0.5,0.0967741935483871,0.0,0.6129032258064516,0.3870967741935484,5.421052631578948,9.312020047934194
BCH-USD,official_close,6.0,37,-0.1119832089537921,0.3243243243243243,-0.0031876060322042,45.37837837837838,0.2702702702702703,0.5675675675675675,0.1621621621621621,0.0,1.0,0.0,,
BCH-USD,official_close,10.0,37,-0.1344456619501526,0.3243243243243243,-0.0038767053461654,45.37837837837838,0.2702702702702703,0.5675675675675675,0.1621621621621621,0.0,1.0,0.0,,
BCH-USD,official_close,15.0,37,-0.1617385001103064,0.3243243243243243,-0.0047377527600383,45.37837837837838,0.2702702702702703,0.5675675675675675,0.1621621621621621,0.0,1.0,0.0,,
BCH-USD,official_close,20.0,37,-0.1881837630814946,0.2972972972972973,-0.0055984371421574,45.37837837837838,0.2702702702702703,0.5675675675675675,0.1621621621621621,0.0,1.0,0.0,,
BCH-USD,preview_unclosed15m,6.0,57,-0.1427853036427258,0.3684210526315789,-0.0026794532239982,41.3859649122807,0.3157894736842105,0.6140350877192983,0.0701754385964912,0.0,0.6491228070175439,0.3508771929824561,6.027027027027027,13.890420717909528
BCH-USD,preview_unclosed15m,10.0,57,-0.175103715271904,0.3684210526315789,-0.003350626550171,41.3859649122807,0.3157894736842105,0.6140350877192983,0.0701754385964912,0.0,0.6491228070175439,0.3508771929824561,6.027027027027027,13.890420717909528
BCH-USD,preview_unclosed15m,15.0,57,-0.213810712794075,0.3684210526315789,-0.0041892868952666,41.3859649122807,0.3157894736842105,0.6140350877192983,0.0701754385964912,0.0,0.6491228070175439,0.3508771929824561,6.027027027027027,13.890420717909528
BCH-USD,preview_unclosed15m,20.0,57,-0.250719480632714,0.3508771929824561,-0.0050276068930066,41.3859649122807,0.3157894736842105,0.6140350877192983,0.0701754385964912,0.0,0.6491228070175439,0.3508771929824561,6.027027027027027,13.890420717909528
DOT-USD,official_close,6.0,54,-0.0985489112413217,0.3888888888888889,-0.0018888670671286,43.57407407407408,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,1.0,0.0,,
DOT-USD,official_close,10.0,54,-0.1304490210774341,0.3518518518518518,-0.0025531942182932,43.57407407407408,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,1.0,0.0,,
DOT-USD,official_close,15.0,54,-0.1687582717921931,0.3333333333333333,-0.0033833049106188,43.57407407407408,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,1.0,0.0,,
DOT-USD,official_close,20.0,54,-0.2053976888903722,0.3333333333333333,-0.0042130842178001,43.57407407407408,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,1.0,0.0,,
DOT-USD,preview_unclosed15m,6.0,86,-0.0465675046305409,0.4651162790697674,-0.0005169504153331,42.7093023255814,0.4186046511627907,0.5,0.0813953488372093,0.0,0.6162790697674418,0.3837209302325581,6.490566037735849,21.903290788258012
