asset,symbol,entry_mode,exit_config,market_cost_bps,net_ret,gross_ret,exit_reason,confirmed_at_close,preview_only,lead_minutes,delay_penalty_bps,delay_pct_of_tp175
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,-0.006257285506835575,-0.004266814869760216,fixed_hold,1,0,12.0,-1.6247062923191447,-4.8529473287864215
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,-0.009468278519083162,-0.007484239513871449,fixed_hold,1,0,8.0,10.28698877989953,28.54887099321022
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,-0.004382493897469253,-0.002388268045291797,fixed_hold,1,0,1.0,6.126970377975383,7.4275674372155045
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.001674860058607175,0.0036812188150183722,fixed_hold,1,0,14.0,4.1606646268155245,13.795628030416058
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.001839506738922081,0.00384619528329333,fixed_hold,1,0,13.0,-8.762573754657055,-10.834412580945969
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,-0.011821821849139824,-0.009842497000644101,fixed_hold,1,0,12.0,11.434044258584741,16.586566367159325
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.01000819413721854,0.012031244595164248,fixed_hold,0,1,12.0,4.21497121904757,8.073867296539945
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.003957035890228999,0.005967965853971191,fixed_hold,1,0,11.0,2.3160051658677183,3.7396012148398916
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.015707620087962892,0.01774208651891418,fixed_hold,1,0,2.0,-2.3712501774653116,-1.4626250393016944
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,-0.012615893085196839,-0.010638158764567196,fixed_hold,0,1,14.0,1.6417808527680045,1.3016933533010084
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,-0.01086813044982704,-0.008886895353638957,fixed_hold,1,0,9.0,4.929308586114622,7.116993299281958
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.004756247124604096,0.006768777911649537,fixed_hold,1,0,8.0,-12.149458541054203,-10.358136888560239
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.012750784688675187,0.014779328566479455,fixed_hold,1,0,9.0,46.954848705171855,36.873677296941295
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,-0.00532019647833637,-0.003327848848183823,fixed_hold,1,0,14.0,-2.8834420569334718,-3.1199742682522276
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.0017085619788326234,0.0037149882403249013,fixed_hold,1,0,11.0,-13.823557361082317,-20.931931875668855
BTC-USD,BTCUSDT,preview_unclosed15m_delay1m,fixed_hold_120m,10.0,0.01770623949595418,0.019744709169584262,fixed_hold,1,0,7.0,23.29198313113734,20.93423006959136
