factor_id,horizon,n_months,rolling_ic_3m_mean_latest,rolling_ic_3m_min,rolling_ic_3m_max,rolling_ls_3m_mean_latest,rolling_ic_6m_mean_latest,rolling_ic_6m_min,rolling_ic_6m_max,rolling_ls_6m_mean_latest,ic_positive_month_rate,ls_positive_month_rate,recent_6m_ic_mean,full_period_ic_mean,recent_vs_full_ic_delta,recent_6m_ls_mean,full_period_ls_mean,recent_vs_full_ls_delta,stability_score,stability_class,main_stability_note_zh,main_stability_note_en
rev_1h,72h,25,0.004885,-0.008305,0.013032,-0.00251397,0.005423,-0.002301,0.010378,-0.00168506,0.76,0.4,0.005423,0.004347,0.001076,-0.00168506,-0.00141016,-0.0002749,80.8,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_24h,1h,25,0.015433,0.013902,0.032228,-0.00023356,0.019933,0.018984,0.027335,-0.00011717,1.0,0.4,0.019933,0.021931,-0.001997,-0.00011717,-8.83e-05,-2.887e-05,87.0,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_24h,24h,25,0.015007,-0.008143,0.048515,-0.00696048,0.022791,0.017652,0.045399,-0.00420562,0.8,0.4,0.022791,0.02761,-0.004819,-0.00420562,-0.00142615,-0.00277947,79.6,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_24h,4h,25,0.021462,0.016995,0.048136,-0.00122816,0.029176,0.024219,0.042513,-0.00064422,0.96,0.36,0.029176,0.028975,0.000201,-0.00064422,-0.00036205,-0.00028217,86.0,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_24h,72h,25,0.017893,-0.014068,0.054161,-0.00981322,0.009857,0.00666,0.039889,-0.00838948,0.72,0.36,0.009857,0.019791,-0.009934,-0.00838948,-0.00463096,-0.00375852,73.8,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_3h,1h,25,0.036719,0.017946,0.056244,7.495e-05,0.032645,0.024023,0.04603,-2.57e-05,1.0,0.52,0.032645,0.034505,-0.00186,-2.57e-05,2.854e-05,-5.424e-05,89.5,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_3h,24h,25,0.020953,0.005526,0.033619,-0.00256691,0.023553,0.011072,0.028772,-0.00156394,0.96,0.32,0.023553,0.016797,0.006756,-0.00156394,-0.00096392,-0.00060003,85.2,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_3h,4h,25,0.037783,0.010659,0.043672,6.293e-05,0.032921,0.019873,0.038971,-0.00020004,0.96,0.52,0.032921,0.03193,0.000991,-0.00020004,-6.276e-05,-0.00013728,89.2,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_3h,72h,25,0.006743,-0.00582,0.02333,-0.00459322,0.006899,0.000462,0.015922,-0.0037922,0.8,0.44,0.006899,0.007687,-0.000788,-0.0037922,-0.00223634,-0.00155586,82.4,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_72h,1h,25,0.009935,0.00309,0.027129,-0.00017805,0.008887,0.008887,0.022965,-0.00017265,0.92,0.44,0.008887,0.015511,-0.006624,-0.00017265,-2.857e-05,-0.00014408,83.1,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_72h,24h,25,0.027052,-0.000222,0.072238,-0.00256972,0.017102,0.017102,0.054762,-0.00366682,0.8,0.44,0.017102,0.030556,-0.013455,-0.00366682,-0.00114772,-0.0025191,76.1,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_72h,4h,25,0.01549,0.009477,0.044605,-0.00072145,0.014083,0.014083,0.037095,-0.0007051,0.96,0.4,0.014083,0.024463,-0.010381,-0.0007051,-9.815e-05,-0.00060695,81.6,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
rev_72h,72h,25,0.056613,-0.021391,0.064561,0.00327602,0.019417,-0.010143,0.042597,-0.00640272,0.72,0.44,0.019417,0.019778,-0.000361,-0.00640272,-0.00466737,-0.00173535,80.2,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
reversal_5h,1h,25,0.033561,0.018205,0.046262,8.991e-05,0.030311,0.024459,0.039248,-4.807e-05,1.0,0.48,0.030311,0.032354,-0.002044,-4.807e-05,1.638e-05,-6.445e-05,88.6,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
reversal_5h,24h,25,0.022731,0.008458,0.04135,-0.00355644,0.027234,0.01355,0.0342,-0.00213205,0.92,0.28,0.027234,0.020358,0.006876,-0.00213205,-0.00126139,-0.00087066,83.2,STABLE_POSITIVE,因子近期表现稳定且方向一致，适合作为组合因子之一,Factor shows stable positive performance — suitable for portfolio inclusion
