factor_id,fee_bps,total_return,annualized_return,annualized_vol,sharpe,max_drawdown,positive_month_rate,avg_turnover
vol_zscore_48h,20,-0.9999999648475716,-0.9997894560177765,0.41292079749565147,-2.4212620485125975,0.38893730699048973,0.68,0.5151339692431116
qvol_zscore_20h,0,2.6515823009750568,0.8923579188200608,0.4079174492405812,2.187594378424755,0.34299647711186115,0.64,0.5663442389711661
qvol_zscore_20h,2,-0.5130838737906962,-0.29841298971493846,0.407931722075315,-0.7315268059978026,0.34299647711186115,0.64,0.5663442389711661
qvol_zscore_20h,5,-0.9763013141357804,-0.8416545429289545,0.4079631871974901,-2.0630649267908567,0.34299647711186115,0.64,0.5663442389711661
qvol_zscore_20h,10,-0.999846419668899,-0.9867597319951812,0.4080424371677348,-2.4182772234289738,0.34299647711186115,0.64,0.5663442389711661
qvol_zscore_20h,20,-0.9999999935781335,-0.9999076270308471,0.4083013868417065,-2.4489449687284535,0.34299647711186115,0.64,0.5663442389711661
qvol_zscore_48h,0,3.3671698574987756,1.0690661021425938,0.41353157445968425,2.585210339837831,0.3358928599871658,0.8,0.5107650436832563
qvol_zscore_48h,2,-0.28829132904932486,-0.15443093457324164,0.41353797857500696,-0.37343833595499176,0.3358928599871658,0.8,0.5107650436832563
qvol_zscore_48h,5,-0.9531940740855246,-0.7791309443962979,0.4135578581401247,-1.8839708375999644,0.3358928599871658,0.8,0.5107650436832563
qvol_zscore_48h,10,-0.9994989444650708,-0.9764364347990857,0.4136183813915323,-2.360718185478291,0.3358928599871658,0.8,0.5107650436832563
qvol_zscore_48h,20,-0.9999999427853032,-0.999732274610112,0.41384207801943235,-2.4157337489571775,0.3358928599871658,0.8,0.5107650436832563
ma_gap_5_20,0,3.3616266763243097,1.0654070988715492,0.5169882653153932,2.060795515777497,0.3434768540079774,0.64,0.10841632275036313
ma_gap_5_20,2,1.9658378911961627,0.7081143401165237,0.5169937734730573,1.369676728134573,0.3434768540079774,0.64,0.10841632275036313
ma_gap_5_20,5,0.6629848582651758,0.28463620832782377,0.5170035329040421,0.5505498322787156,0.3434768540079774,0.64,0.10841632275036313
ma_gap_5_20,10,-0.36597976148091804,-0.20100814680791557,0.5170237908782136,-0.3887792986595149,0.3434768540079774,0.64,0.10841632275036313
ma_gap_5_20,20,-0.9078579594201229,-0.6909492324212183,0.5170792754924939,-1.3362539656286194,0.3434768540079774,0.64,0.10841632275036313
ma_gap_10_40,0,1.64114693716175,0.6141825926089388,0.506171711914723,1.2133878250241152,0.4023480529204348,0.56,0.056526506856134265
ma_gap_10_40,2,1.160515933870343,0.46198835790944015,0.5061723710173253,0.912709551848746,0.4023480529204348,0.56,0.056526506856134265
ma_gap_10_40,5,0.5984633281864973,0.2601717238037027,0.5061740605553036,0.5139965558849037,0.4023480529204348,0.56,0.056526506856134265
ma_gap_10_40,10,-0.03260110995209886,-0.01620808599749446,0.506178745452751,-0.03202047921430829,0.4023480529204348,0.56,0.056526506856134265
ma_gap_10_40,20,-0.6456848038675513,-0.40043037135526605,0.5061951237264303,-0.7910593219615366,0.4023480529204348,0.56,0.056526506856134265
