factor_id,check,status,detail
ma_gap_5_20,marginal_info,OK,novelty=HIGHLY_REDUNDANT
ma_gap_5_20,scorecard_not_stale,OK,"rankic=-0.025637, coverage=0.9985"
ma_gap_5_20,unified_profile,OK,score=45.1
ma_gap_5_20,ls_btc_corr,OK,ls_btc_corr=0.0651
ma_gap_5_20,source_metadata,OK,All source metadata present
mom_10h,factor_values,OK,factor_values.parquet exists
mom_10h,factor_level_rankic,OK,4 horizon(s)
mom_10h,period_ic,OK,100 rows
mom_10h,period_ls,OK,100 rows
mom_10h,ls_aggregate,MISSING,LS aggregate fields are NaN
mom_10h,cumulative_ls,OK,100 rows
mom_10h,paper_payload,OK,Present in payload
mom_10h,regime_btc,OK,regime=VOL_DEPENDENT
mom_10h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
mom_10h,rolling_stability,OK,stability=
mom_10h,decile_shape,OK,shape=NONLINEAR_MIXED
mom_10h,capacity_liquidity,OK,class=
mom_10h,pairwise_redundancy,OK,77 pairs
mom_10h,cluster,OK,cluster=1
mom_10h,marginal_info,OK,novelty=HIGHLY_REDUNDANT
mom_10h,scorecard_not_stale,OK,"rankic=-0.029898, coverage=0.9992"
mom_10h,unified_profile,OK,score=40.2
mom_10h,ls_btc_corr,OK,ls_btc_corr=0.0280
mom_10h,source_metadata,OK,All source metadata present
mom_120h,factor_values,OK,factor_values.parquet exists
mom_120h,factor_level_rankic,OK,4 horizon(s)
mom_120h,period_ic,OK,100 rows
mom_120h,period_ls,OK,100 rows
mom_120h,ls_aggregate,MISSING,LS aggregate fields are NaN
mom_120h,cumulative_ls,OK,100 rows
mom_120h,paper_payload,OK,Present in payload
mom_120h,regime_btc,OK,regime=REGIME_ROBUST
mom_120h,quantile_shape,OK,shape=NO_CLEAR_SHAPE
mom_120h,rolling_stability,OK,stability=
mom_120h,decile_shape,OK,shape=NONLINEAR_MIXED
mom_120h,capacity_liquidity,OK,class=
mom_120h,pairwise_redundancy,OK,77 pairs
mom_120h,cluster,OK,cluster=15
mom_120h,marginal_info,OK,novelty=INSUFFICIENT_OVERLAP
mom_120h,scorecard_not_stale,OK,"rankic=-0.023140, coverage=0.9904"
mom_120h,unified_profile,OK,score=54.3
