factor_id,horizon,month,rank_ic,rolling_ic_3m,rolling_ic_6m,long_short_return,rolling_ls_3m,rolling_ls_6m
bb_zscore_20h,24h,2026-03,-0.033928,-0.033652,-0.038112,-0.00172655,-0.00188019,-0.00085701
bb_zscore_20h,24h,2026-04,-0.065773,-0.047386,-0.04198,0.00047494,-0.00041354,-0.00057749
bb_zscore_20h,24h,2026-05,-0.020467,-0.040056,-0.039595,-0.00183356,-0.00102839,-0.00075331
bb_zscore_20h,24h,2026-06,0.013314,-0.024309,-0.02898,-0.01429835,-0.00521899,-0.00354959
bb_zscore_20h,4h,2024-06,-0.005131,-0.005131,-0.005131,-0.00036948,-0.00036948,-0.00036948
bb_zscore_20h,4h,2024-07,-0.029767,-0.017449,-0.017449,0.00029761,-3.593e-05,-3.593e-05
bb_zscore_20h,4h,2024-08,-0.049102,-0.028,-0.028,0.00095988,0.000296,0.000296
bb_zscore_20h,4h,2024-09,-0.013917,-0.030929,-0.024479,-0.00069488,0.00018754,4.828e-05
bb_zscore_20h,4h,2024-10,-0.044123,-0.035714,-0.028408,0.00049372,0.00025291,0.00013737
bb_zscore_20h,4h,2024-11,-0.027083,-0.028375,-0.028187,-0.00051584,-0.000239,2.85e-05
bb_zscore_20h,4h,2024-12,-0.049284,-0.040164,-0.035546,0.00053825,0.00017204,0.00017979
bb_zscore_20h,4h,2025-01,-0.01021,-0.028859,-0.032287,-0.00078482,-0.00025414,-6.2e-07
bb_zscore_20h,4h,2025-02,-0.007022,-0.022172,-0.025273,-0.0009812,-0.00040926,-0.00032413
bb_zscore_20h,4h,2025-03,-0.039909,-0.019047,-0.029605,0.00110548,-0.00022018,-2.407e-05
bb_zscore_20h,4h,2025-04,-0.028845,-0.025259,-0.027059,0.00017679,0.00010036,-7.689e-05
bb_zscore_20h,4h,2025-05,-0.022384,-0.030379,-0.026276,-0.00093595,0.00011544,-0.00014691
bb_zscore_20h,4h,2025-06,-0.049629,-0.033619,-0.026333,0.00074809,-3.69e-06,-0.00011193
bb_zscore_20h,4h,2025-07,-0.045065,-0.039026,-0.032142,-0.00038531,-0.00019106,-4.535e-05
bb_zscore_20h,4h,2025-08,-0.029754,-0.041483,-0.035931,-0.00073491,-0.00012404,-4.3e-06
bb_zscore_20h,4h,2025-09,-0.028095,-0.034304,-0.033962,-0.00096642,-0.00069555,-0.00034962
bb_zscore_20h,4h,2025-10,-0.041538,-0.033129,-0.036077,-0.00146571,-0.00105568,-0.00062337
bb_zscore_20h,4h,2025-11,-0.041059,-0.036897,-0.03919,-0.00043616,-0.0009561,-0.00054007
bb_zscore_20h,4h,2025-12,-0.055196,-0.045931,-0.040118,6.088e-05,-0.00061366,-0.0006546
bb_zscore_20h,4h,2026-01,-0.030648,-0.042301,-0.037715,-0.00088567,-0.00042032,-0.000738
bb_zscore_20h,4h,2026-02,-0.037858,-0.041234,-0.039066,-0.00044913,-0.00042464,-0.00069037
bb_zscore_20h,4h,2026-03,-0.035256,-0.034587,-0.040259,-0.00049956,-0.00061145,-0.00061256
bb_zscore_20h,4h,2026-04,-0.039064,-0.037393,-0.039847,-0.00103785,-0.00066218,-0.00054125
bb_zscore_20h,4h,2026-05,-0.042878,-0.039066,-0.04015,4.069e-05,-0.00049891,-0.00046177
bb_zscore_20h,4h,2026-06,-0.02257,-0.034837,-0.034712,-0.00075447,-0.00058388,-0.00059767
bb_zscore_20h,72h,2024-06,0.039007,0.039007,0.039007,-0.00797408,-0.00797408,-0.00797408
bb_zscore_20h,72h,2024-07,-0.025245,0.006881,0.006881,0.00484979,-0.00156215,-0.00156215
