factor_id,horizon,n_windows,window_ls_mean,window_ls_std,window_ls_win_rate,window_ls_ann_edge,window_ls_ann_vol,window_ls_sharpe,bars_per_year,overlap_warning,nonoverlap_available,nonoverlap_n_windows,nonoverlap_window_ls_win_rate
volatility_20h,4h,25,-0.0002710476,0.0010663392,0.44,-0.593594244,0.0499019403,-11.895213706,2190.0,MODERATE_OVERLAP,True,25,0.44
volatility_20h,72h,25,-0.0057737796,0.0185600877,0.4,-0.702476518,0.204722619,-3.431357616,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.4444444444
volume_pressure_20h,1h,25,7.65552e-05,0.0001819597,0.6,0.670623552,0.0170304948,39.3778079348,8760.0,LOW_OVERLAP,True,25,0.6
volume_pressure_20h,24h,25,0.0009458532,0.002979169,0.64,0.345236418,0.0569169438,6.0656176313,365.0,HIGH_OVERLAP,True,25,0.64
volume_pressure_20h,4h,25,0.00031389,0.0006494944,0.72,0.6874191,0.0303946725,22.6164338473,2190.0,MODERATE_OVERLAP,True,25,0.72
volume_pressure_20h,72h,25,0.0033612556,0.0082603673,0.6,0.4089527647,0.0911140106,4.4883631164,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.5555555556
vwap_dev_20h,1h,25,5.85056e-05,0.0002143047,0.64,0.512509056,0.0200578209,25.5515820375,8760.0,LOW_OVERLAP,True,25,0.64
vwap_dev_20h,24h,25,0.0016655816,0.0036765586,0.76,0.607937284,0.0702405534,8.6550753708,365.0,HIGH_OVERLAP,True,25,0.76
vwap_dev_20h,4h,25,0.0003966084,0.0007305737,0.68,0.868572396,0.0341889758,25.4050428417,2190.0,MODERATE_OVERLAP,True,25,0.68
vwap_dev_20h,72h,25,0.0044433568,0.0085158642,0.64,0.5406084107,0.0939322082,5.7553039679,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.4444444444
williams_r_14h,1h,25,3.4172e-06,0.0002121256,0.52,0.029934672,0.0198538683,1.5077501038,8760.0,LOW_OVERLAP,True,25,0.52
williams_r_14h,24h,25,0.0015502552,0.002855094,0.64,0.565843148,0.0545464943,10.3735933072,365.0,HIGH_OVERLAP,True,25,0.64
williams_r_14h,4h,25,0.0001968616,0.0006373998,0.6,0.431126904,0.0298286762,14.4534373761,2190.0,MODERATE_OVERLAP,True,25,0.6
williams_r_14h,72h,25,0.0040289612,0.0063215811,0.64,0.4901902793,0.069728692,7.0299652135,121.66666666666667,VERY_HIGH_OVERLAP,True,9,0.4444444444
wq101_alpha101,1h,25,-8.8314e-05,0.0002338552,0.44,-0.77363064,0.0218876474,-35.3455364486,8760.0,LOW_OVERLAP,True,25,0.44
