factor_id,horizon,horizon_hours,n_months,rankic_mean,rankic_std,naive_t_stat,naive_n_periods,monthly_naive_t_stat,robust_standard_error,robust_t_stat,robust_p_value,effective_n_proxy,nw_lag,overlap_ratio,tstat_inflation_ratio,significance_class_naive,significance_class_robust,overlap_warning
a101_volume_low_alpha_min_84_120,1h,1,25,0.01852742,0.00439476,19.8505,17604,21.079,0.00089748,20.6438,0.0,21.33,1,0.0014,0.9616,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
a101_volume_low_alpha_min_84_120,4h,4,25,0.02930855,0.00727971,31.185,17602,20.1303,0.00107301,27.3143,0.0,103.15,4,0.0056,1.1417,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
a101_volume_low_alpha_min_84_120,24h,24,25,0.0526021,0.01737023,53.7228,17582,15.1414,0.00216958,24.2453,0.0,993.12,5,0.0333,2.2158,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
a101_volume_low_alpha_min_84_120,72h,72,25,0.06238981,0.02868483,63.3042,17534,10.8751,0.00395924,15.758,0.0,196.06,5,0.1,4.0173,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
a101_volume_xs_z_mean_neg_112h,1h,1,25,0.01864399,0.00663858,16.9116,17695,14.0422,0.00137033,13.6054,0.0,20.5,1,0.0014,1.243,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
a101_volume_xs_z_mean_neg_112h,4h,4,25,0.02837459,0.00846426,25.3851,17693,16.7614,0.00162439,17.4678,0.0,25.83,4,0.0056,1.4532,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
a101_volume_xs_z_mean_neg_112h,24h,24,25,0.0533848,0.02133456,46.2151,17673,12.5113,0.00285685,18.6866,0.0,981.06,5,0.0333,2.4732,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,HIGH_OVERLAP
a101_volume_xs_z_mean_neg_112h,72h,72,25,0.06703098,0.03725638,58.717,17625,8.9959,0.00388999,17.2317,0.0,25.0,5,0.1,3.4075,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,SEVERE_OVERLAP
amihud_illiquidity_20h,1h,1,25,0.00429966,0.00562304,4.0274,17766,3.8232,0.00119211,3.6068,0.00031,18.64,1,0.0014,1.1166,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,NO_MAJOR_OVERLAP
amihud_illiquidity_20h,4h,4,25,0.00731653,0.00918398,6.7007,17764,3.9833,0.00188629,3.8788,0.000105,22.19,4,0.0056,1.7275,ROBUST_SIGNIFICANT_POSITIVE,ROBUST_SIGNIFICANT_POSITIVE,MODERATE_OVERLAP
