,factor_id,cluster_id,cluster_size,cluster_members
70,q158_open_close_0h,9,14,candle_body;intraday_ret;q158_kmid_open;q158_kmid_range;q158_ksft_open;q158_ksft_range;q158_open_close_0h;rev_1h;wq101_alpha101;wq101_alpha49;wq101_alpha51;wq101_alpha54;wq101_alpha83;wq101_alpha9
71,rev_1h,9,14,candle_body;intraday_ret;q158_kmid_open;q158_kmid_range;q158_ksft_open;q158_ksft_range;q158_open_close_0h;rev_1h;wq101_alpha101;wq101_alpha49;wq101_alpha51;wq101_alpha54;wq101_alpha83;wq101_alpha9
72,wq101_alpha101,9,14,candle_body;intraday_ret;q158_kmid_open;q158_kmid_range;q158_ksft_open;q158_ksft_range;q158_open_close_0h;rev_1h;wq101_alpha101;wq101_alpha49;wq101_alpha51;wq101_alpha54;wq101_alpha83;wq101_alpha9
73,wq101_alpha49,9,14,candle_body;intraday_ret;q158_kmid_open;q158_kmid_range;q158_ksft_open;q158_ksft_range;q158_open_close_0h;rev_1h;wq101_alpha101;wq101_alpha49;wq101_alpha51;wq101_alpha54;wq101_alpha83;wq101_alpha9
74,wq101_alpha51,9,14,candle_body;intraday_ret;q158_kmid_open;q158_kmid_range;q158_ksft_open;q158_ksft_range;q158_open_close_0h;rev_1h;wq101_alpha101;wq101_alpha49;wq101_alpha51;wq101_alpha54;wq101_alpha83;wq101_alpha9
75,wq101_alpha54,9,14,candle_body;intraday_ret;q158_kmid_open;q158_kmid_range;q158_ksft_open;q158_ksft_range;q158_open_close_0h;rev_1h;wq101_alpha101;wq101_alpha49;wq101_alpha51;wq101_alpha54;wq101_alpha83;wq101_alpha9
76,wq101_alpha83,9,14,candle_body;intraday_ret;q158_kmid_open;q158_kmid_range;q158_ksft_open;q158_ksft_range;q158_open_close_0h;rev_1h;wq101_alpha101;wq101_alpha49;wq101_alpha51;wq101_alpha54;wq101_alpha83;wq101_alpha9
77,wq101_alpha9,9,14,candle_body;intraday_ret;q158_kmid_open;q158_kmid_range;q158_ksft_open;q158_ksft_range;q158_open_close_0h;rev_1h;wq101_alpha101;wq101_alpha49;wq101_alpha51;wq101_alpha54;wq101_alpha83;wq101_alpha9
78,candle_wick_lower,10,2,candle_wick_lower;q158_klow_range
79,q158_klow_range,10,2,candle_wick_lower;q158_klow_range
80,candle_wick_upper,11,3,candle_wick_upper;q158_kup_open;q158_kup_range
81,q158_kup_open,11,3,candle_wick_upper;q158_kup_open;q158_kup_range
82,q158_kup_range,11,3,candle_wick_upper;q158_kup_open;q158_kup_range
83,clv_20h,12,1,clv_20h
84,downside_vol_20h,13,3,downside_vol_20h;volatility_20h;wvma_20h
85,volatility_20h,13,3,downside_vol_20h;volatility_20h;wvma_20h
86,wvma_20h,13,3,downside_vol_20h;volatility_20h;wvma_20h
87,funding_rate_change_24h,14,1,funding_rate_change_24h
88,funding_rate_level_20h,15,1,funding_rate_level_20h
89,funding_rate_momentum_20h,16,1,funding_rate_momentum_20h
90,funding_rate_skew_20h,17,1,funding_rate_skew_20h
91,funding_rate_zscore_80h,18,1,funding_rate_zscore_80h
92,klow_close,19,2,klow_close;q158_klow_open
93,q158_klow_open,19,2,klow_close;q158_klow_open
94,ksft_5h,20,1,ksft_5h
95,ma_gap_10_40,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
96,mom_40h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
97,price_pos_24h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
98,q158_beta_30h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
99,q158_ma_30h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
100,q158_max_30h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
101,q158_min_30h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
102,q158_qtld_30h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
103,q158_qtlu_30h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
104,q158_rank_close_30h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
105,q158_rsv_30h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
106,q158_sumd_30h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
107,rev_24h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
108,rsi_28h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
109,vol_adj_mom_40h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
110,volume_pressure_asymmetry_40h,21,16,ma_gap_10_40;mom_40h;price_pos_24h;q158_beta_30h;q158_ma_30h;q158_max_30h;q158_min_30h;q158_qtld_30h;q158_qtlu_30h;q158_rank_close_30h;q158_rsv_30h;q158_sumd_30h;rev_24h;rsi_28h;vol_adj_mom_40h;volume_pressure_asymmetry_40h
111,ma_gap_20_80,22,3,ma_gap_20_80;mom_72h;rev_72h
112,mom_72h,22,3,ma_gap_20_80;mom_72h;rev_72h
113,rev_72h,22,3,ma_gap_20_80;mom_72h;rev_72h
114,mom_120h,23,1,mom_120h
115,mom_accel_20h,24,1,mom_accel_20h
116,price_volume_corr_20h,25,3,price_volume_corr_20h;q158_cord_20h;vol_ret_corr_20h
117,q158_cord_20h,25,3,price_volume_corr_20h;q158_cord_20h;vol_ret_corr_20h
118,vol_ret_corr_20h,25,3,price_volume_corr_20h;q158_cord_20h;vol_ret_corr_20h
119,q158_cntd_30h,26,3,q158_cntd_30h;q158_cntn_30h;q158_cntp_30h
120,q158_cntn_30h,26,3,q158_cntd_30h;q158_cntn_30h;q158_cntp_30h
121,q158_cntp_30h,26,3,q158_cntd_30h;q158_cntn_30h;q158_cntp_30h
122,q158_corr_20h,27,1,q158_corr_20h
123,q158_high_close_0h,28,1,q158_high_close_0h
124,q158_high_close_1h,29,1,q158_high_close_1h
125,q158_high_low_range,30,3,q158_high_low_range;q158_klen_open;range_1h
126,q158_klen_open,30,3,q158_high_low_range;q158_klen_open;range_1h
127,range_1h,30,3,q158_high_low_range;q158_klen_open;range_1h
128,q158_imax_30h,31,1,q158_imax_30h
129,q158_low_close_0h,32,1,q158_low_close_0h
130,q158_low_close_1h,33,1,q158_low_close_1h
131,q158_max_60h,34,1,q158_max_60h
132,q158_min_60h,35,1,q158_min_60h
133,q158_resi_20h,36,1,q158_resi_20h
134,q158_resi_30h,37,1,q158_resi_30h
135,q158_rsqr_20h,38,1,q158_rsqr_20h
136,q158_rsqr_30h,39,1,q158_rsqr_30h
137,q158_std_10h,40,1,q158_std_10h
138,q158_std_20h,41,1,q158_std_20h
139,q158_std_30h,42,2,q158_std_30h;range_24h
140,range_24h,42,2,q158_std_30h;range_24h
141,q158_std_5h,43,2,q158_std_5h;range_4h
142,range_4h,43,2,q158_std_5h;range_4h
143,q158_std_60h,44,1,q158_std_60h
144,q158_vma_20h,45,5,q158_vma_20h;q158_vstd_20h;qvol_zscore_20h;range_breakout_vol_confirm_20h;vol_zscore_20h
145,q158_vstd_20h,45,5,q158_vma_20h;q158_vstd_20h;qvol_zscore_20h;range_breakout_vol_confirm_20h;vol_zscore_20h
146,qvol_zscore_20h,45,5,q158_vma_20h;q158_vstd_20h;qvol_zscore_20h;range_breakout_vol_confirm_20h;vol_zscore_20h
147,range_breakout_vol_confirm_20h,45,5,q158_vma_20h;q158_vstd_20h;qvol_zscore_20h;range_breakout_vol_confirm_20h;vol_zscore_20h
148,vol_zscore_20h,45,5,q158_vma_20h;q158_vstd_20h;qvol_zscore_20h;range_breakout_vol_confirm_20h;vol_zscore_20h
149,q158_volume_ratio_1h,46,1,q158_volume_ratio_1h
150,q158_volume_ratio_2h,47,1,q158_volume_ratio_2h
151,q158_volume_ratio_3h,48,1,q158_volume_ratio_3h
152,q158_volume_ratio_4h,49,1,q158_volume_ratio_4h
153,q158_vsumd_20h,50,3,q158_vsumd_20h;q158_vsumn_20h;q158_vsump_20h
154,q158_vsumn_20h,50,3,q158_vsumd_20h;q158_vsumn_20h;q158_vsump_20h
155,q158_vsump_20h,50,3,q158_vsumd_20h;q158_vsumn_20h;q158_vsump_20h
156,q158_wvma_20h,51,1,q158_wvma_20h
157,qvol_ma_ratio_20_80,52,1,qvol_ma_ratio_20_80
158,qvol_ma_ratio_5_20,53,1,qvol_ma_ratio_5_20
159,qvol_zscore_48h,54,2,qvol_zscore_48h;vol_zscore_48h
160,vol_zscore_48h,54,2,qvol_zscore_48h;vol_zscore_48h
161,range_compression_breakout_48h,55,1,range_compression_breakout_48h
162,realized_kurt_20h,56,1,realized_kurt_20h
163,realized_skew_20h,57,1,realized_skew_20h
164,taker_buy_delta_5h,58,1,taker_buy_delta_5h
165,taker_buy_ratio_20h,59,1,taker_buy_ratio_20h
166,taker_buy_zscore_20h,60,1,taker_buy_zscore_20h
167,taker_flow_momentum_20h,61,1,taker_flow_momentum_20h
168,taker_flow_persistence_40h,62,1,taker_flow_persistence_40h
169,tech_atr,63,1,tech_atr
170,tech_macd,64,1,tech_macd
171,trend_efficiency_24h,65,1,trend_efficiency_24h
172,vol_40h,66,1,vol_40h
173,vol_5h,67,1,vol_5h
174,vol_of_vol_20h,68,1,vol_of_vol_20h
175,vol_ratio_20_80,69,1,vol_ratio_20_80
176,vol_ratio_5_20,70,1,vol_ratio_5_20
177,volume_pressure_20h,71,1,volume_pressure_20h
178,wq101_alpha1,72,1,wq101_alpha1
179,wq101_alpha10,73,1,wq101_alpha10
180,wq101_alpha11,74,1,wq101_alpha11
181,wq101_alpha12,75,1,wq101_alpha12
182,wq101_alpha13,76,1,wq101_alpha13
183,wq101_alpha14,77,2,wq101_alpha14;wq101_alpha6
184,wq101_alpha6,77,2,wq101_alpha14;wq101_alpha6
185,wq101_alpha15,78,1,wq101_alpha15
186,wq101_alpha16,79,1,wq101_alpha16
187,wq101_alpha17,80,1,wq101_alpha17
188,wq101_alpha18,81,1,wq101_alpha18
189,wq101_alpha19,82,1,wq101_alpha19
190,wq101_alpha2,83,1,wq101_alpha2
191,wq101_alpha20,84,1,wq101_alpha20
192,wq101_alpha21,85,1,wq101_alpha21
193,wq101_alpha22,86,1,wq101_alpha22
194,wq101_alpha23,87,1,wq101_alpha23
195,wq101_alpha24,88,1,wq101_alpha24
196,wq101_alpha25,89,1,wq101_alpha25
197,wq101_alpha26,90,1,wq101_alpha26
198,wq101_alpha27,91,1,wq101_alpha27
199,wq101_alpha28,92,1,wq101_alpha28
200,wq101_alpha29,93,1,wq101_alpha29
201,wq101_alpha3,94,1,wq101_alpha3
202,wq101_alpha30,95,1,wq101_alpha30
203,wq101_alpha31,96,1,wq101_alpha31
204,wq101_alpha32,97,1,wq101_alpha32
205,wq101_alpha33,98,3,wq101_alpha33;wq101_alpha38;xs_rank_ret_1h
206,wq101_alpha38,98,3,wq101_alpha33;wq101_alpha38;xs_rank_ret_1h
207,xs_rank_ret_1h,98,3,wq101_alpha33;wq101_alpha38;xs_rank_ret_1h
208,wq101_alpha34,99,1,wq101_alpha34
209,wq101_alpha35,100,1,wq101_alpha35
210,wq101_alpha36,101,1,wq101_alpha36
211,wq101_alpha37,102,1,wq101_alpha37
212,wq101_alpha39,103,1,wq101_alpha39
213,wq101_alpha4,104,1,wq101_alpha4
214,wq101_alpha40,105,1,wq101_alpha40
215,wq101_alpha41,106,1,wq101_alpha41
216,wq101_alpha42,107,1,wq101_alpha42
217,wq101_alpha43,108,1,wq101_alpha43
218,wq101_alpha44,109,1,wq101_alpha44
219,wq101_alpha45,110,1,wq101_alpha45
220,wq101_alpha46,111,1,wq101_alpha46
221,wq101_alpha47,112,1,wq101_alpha47
222,wq101_alpha5,113,1,wq101_alpha5
223,wq101_alpha50,114,1,wq101_alpha50
224,wq101_alpha52,115,1,wq101_alpha52
225,wq101_alpha53,116,1,wq101_alpha53
226,wq101_alpha55,117,1,wq101_alpha55
227,wq101_alpha56,118,1,wq101_alpha56
228,wq101_alpha57,119,1,wq101_alpha57
229,wq101_alpha60,120,1,wq101_alpha60
230,wq101_alpha61,121,1,wq101_alpha61
231,wq101_alpha62,122,1,wq101_alpha62
232,wq101_alpha64,123,1,wq101_alpha64
233,wq101_alpha65,124,1,wq101_alpha65
234,wq101_alpha66,125,1,wq101_alpha66
235,wq101_alpha68,126,1,wq101_alpha68
236,wq101_alpha7,127,1,wq101_alpha7
237,wq101_alpha71,128,1,wq101_alpha71
238,wq101_alpha72,129,1,wq101_alpha72
239,wq101_alpha73,130,1,wq101_alpha73
240,wq101_alpha74,131,1,wq101_alpha74
241,wq101_alpha75,132,1,wq101_alpha75
242,wq101_alpha77,133,1,wq101_alpha77
243,wq101_alpha78,134,1,wq101_alpha78
244,wq101_alpha8,135,1,wq101_alpha8
245,wq101_alpha81,136,1,wq101_alpha81
246,wq101_alpha84,137,1,wq101_alpha84
247,wq101_alpha85,138,1,wq101_alpha85
248,wq101_alpha86,139,1,wq101_alpha86
249,wq101_alpha88,140,1,wq101_alpha88
250,wq101_alpha92,141,1,wq101_alpha92
251,wq101_alpha94,142,1,wq101_alpha94
252,wq101_alpha95,143,1,wq101_alpha95
253,wq101_alpha98,144,1,wq101_alpha98
254,wq101_alpha99,145,1,wq101_alpha99
255,xs_rank_mom_accel,146,1,xs_rank_mom_accel
256,xs_rank_vol,147,1,xs_rank_vol
