variant_id,fee_bps,slippage_bps,total_cost_bps,gross_mean_spread,gross_median_spread,estimated_cost_per_rebalance,net_mean_spread,net_median_spread,net_hit_rate,net_cumulative_spread,cost_drag_fraction,survives_cost_flag
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,2,5,7,-0.00010326235112723932,8.128295055801507e-05,0.00021000000000000004,-0.00031326235112723934,-0.00012871704944198496,0.4860730593607306,-5.4883563917492335,2.0336550321349853,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,2,10,12,-0.00010326235112723932,8.128295055801507e-05,0.00036,-0.00046326235112723925,-0.00027871704944198495,0.471175799086758,-8.116356391749232,3.4862657693742607,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,2,25,27,-0.00010326235112723932,8.128295055801507e-05,0.0008100000000000002,-0.0009132623511272395,-0.000728717049441985,0.42568493150684933,-16.000356391749236,7.844097981092087,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,5,1,6,-0.00010326235112723932,8.128295055801507e-05,0.00018,-0.0002832623511272392,-9.871704944198494e-05,0.48932648401826484,-4.962756391749231,1.7431328846871303,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,5,5,10,-0.00010326235112723932,8.128295055801507e-05,0.00030000000000000003,-0.0004032623511272393,-0.00021871704944198496,0.4761986301369863,-7.065156391749233,2.9052214744785507,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,5,10,15,-0.00010326235112723932,8.128295055801507e-05,0.0004500000000000001,-0.0005532623511272394,-0.000368717049441985,0.46101598173515984,-9.693156391749234,4.3578322117178265,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,5,25,30,-0.00010326235112723932,8.128295055801507e-05,0.0009000000000000002,-0.0010032623511272395,-0.0008187170494419851,0.4175799086757991,-17.577156391749234,8.715664423435653,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,10,1,11,-0.00010326235112723932,8.128295055801507e-05,0.00033000000000000005,-0.00043326235112723955,-0.000248717049441985,0.4737442922374429,-7.590756391749236,3.1957436219264057,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,10,5,15,-0.00010326235112723932,8.128295055801507e-05,0.0004500000000000001,-0.0005532623511272394,-0.000368717049441985,0.46101598173515984,-9.693156391749234,4.3578322117178265,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,10,10,20,-0.00010326235112723932,8.128295055801507e-05,0.0006000000000000001,-0.0007032623511272393,-0.0005187170494419849,0.4460616438356164,-12.321156391749232,5.8104429489571014,False
signal_v0_family_balanced_diagnostic__1h__original_bucket0_guard,10,25,35,-0.00010326235112723932,8.128295055801507e-05,0.0010500000000000002,-0.0011532623511272394,-0.000968717049441985,0.40228310502283104,-20.205156391749235,10.168275160674927,False
signal_v0_core_only__4h__original_bucket0_guard,2,1,3,-0.00045908386580238795,0.00011639317467839133,0.00015,-0.0006090838658023882,-3.360682532160865e-05,0.4983447488584475,-10.67114932885784,0.32673768601697556,False
signal_v0_core_only__4h__original_bucket0_guard,2,5,7,-0.00045908386580238795,0.00011639317467839133,0.00035,-0.0008090838658023878,-0.00023360682532160866,0.48784246575342466,-14.175149328857835,0.7623879340396097,False
signal_v0_core_only__4h__original_bucket0_guard,2,10,12,-0.00045908386580238795,0.00011639317467839133,0.0006,-0.001059083865802388,-0.0004836068253216086,0.4768835616438356,-18.555149328857837,1.3069507440679022,False
signal_v0_core_only__4h__original_bucket0_guard,2,25,27,-0.00045908386580238795,0.00011639317467839133,0.00135,-0.001809083865802388,-0.0012336068253216087,0.44389269406392695,-31.695149328857838,2.9406391741527806,False
signal_v0_core_only__4h__original_bucket0_guard,5,1,6,-0.00045908386580238795,0.00011639317467839133,0.0003,-0.0007590838658023881,-0.00018360682532160864,0.4906392694063927,-13.29914932885784,0.6534753720339511,False
signal_v0_core_only__4h__original_bucket0_guard,5,5,10,-0.00045908386580238795,0.00011639317467839133,0.0005,-0.0009590838658023882,-0.0003836068253216087,0.4815068493150685,-16.80314932885784,1.0891256200565853,False
signal_v0_core_only__4h__original_bucket0_guard,5,10,15,-0.00045908386580238795,0.00011639317467839133,0.00075,-0.0012090838658023882,-0.0006336068253216087,0.470662100456621,-21.18314932885784,1.6336884300848782,False
signal_v0_core_only__4h__original_bucket0_guard,5,25,30,-0.00045908386580238795,0.00011639317467839133,0.0015,-0.001959083865802388,-0.0013836068253216087,0.4360159817351598,-34.32314932885784,3.2673768601697564,False
signal_v0_core_only__4h__original_bucket0_guard,10,1,11,-0.00045908386580238795,0.00011639317467839133,0.00055,-0.001009083865802388,-0.0004336068253216087,0.479337899543379,-17.679149328857836,1.1980381820622439,False
