factor_i,factor_j,family_i,family_j,same_family,tier_i,tier_j,pearson_corr,spearman_corr,abs_spearman_corr,n_pairwise_obs,redundancy_level
mom_40h,candle_body,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.093492,0.127137,0.127137,550833,LOW_REDUNDANCY
mom_40h,candle_wick_upper,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.029212,0.039468,0.039468,550833,LOW_REDUNDANCY
mom_40h,candle_wick_lower,momentum,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,-0.009447,-0.012427,0.012427,550833,LOW_REDUNDANCY
mom_40h,xs_rank_ret_1h,momentum,cross_sectional_normalized,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.069995,0.081372,0.081372,550833,LOW_REDUNDANCY
mom_40h,xs_rank_vol,momentum,cross_sectional_normalized,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.064489,0.023176,0.023176,550833,LOW_REDUNDANCY
rev_3h,rev_10h,reversal,reversal,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.532414,0.468311,0.468311,552163,LOW_REDUNDANCY
rev_3h,rev_24h,reversal,reversal,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.354227,0.282811,0.282811,551580,LOW_REDUNDANCY
rev_3h,vol_5h,reversal,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.210567,0.002831,0.002831,552405,LOW_REDUNDANCY
rev_3h,vol_40h,reversal,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.087431,0.019272,0.019272,550833,LOW_REDUNDANCY
rev_3h,vol_ratio_5_20,reversal,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,-0.034872,-0.020024,0.020024,550201,LOW_REDUNDANCY
