variant_id,signal_id,horizon,direction_variant,guard_variant,mean_rankic,median_rankic,rankic_t_stat,rankic_positive_rate,mean_spread,median_spread,winsorized_spread_1_99,winsorized_spread_5_95,tail_trim_spread,spread_hit_rate,cumulative_spread_return,max_drawdown,n_timestamps,n_observations,upper_bucket_count_avg,lower_bucket_count_avg,bucket0_lower_leg_exposure_fraction,dropped_timestamp_count,dropped_timestamp_fraction
signal_v0_family_balanced_diagnostic__4h__original_no_guard,signal_v0_family_balanced_diagnostic,4h,original,no_guard,0.03520653382590635,0.03759118526560387,19.9127595687415,0.5631278538812785,-0.001160920524304216,-7.308732689836417e-05,-0.0010355296791306938,-0.0008062683355001367,-0.001138681414361281,0.4977739726027397,-20.339327585809862,-21.44826359440497,17520,753360,8.6,8.6,0.5802898048488802,0,0.0
signal_v0_family_balanced_diagnostic__4h__original_bucket0_guard,signal_v0_family_balanced_diagnostic,4h,original,bucket0_guard,0.03520653382590635,0.03759118526560387,19.9127595687415,0.5631278538812785,-0.0005033760271241773,9.55932841149032e-05,-0.00044495267805777185,-0.0003142768167728991,-0.0004983847964256331,0.5050799086757991,-8.819147995215586,-9.931283279605731,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_family_balanced_diagnostic__4h__inverted_no_guard,signal_v0_family_balanced_diagnostic,4h,inverted,no_guard,-0.03520653382590635,-0.03759118526560387,-19.9127595687415,0.43670091324200916,0.001160920524304216,7.308732689836417e-05,0.001035529679130696,0.0008062683355001351,0.001138681414361281,0.5022260273972603,20.339327585809862,-2.4366831940781566,17520,753360,8.6,8.6,0.5802898048488802,0,0.0
signal_v0_family_balanced_diagnostic__4h__inverted_bucket0_guard,signal_v0_family_balanced_diagnostic,4h,inverted,bucket0_guard,-0.03520653382590635,-0.03759118526560387,-19.9127595687415,0.43670091324200916,0.001165801429709241,-6.592615172209042e-05,0.0010191061573940111,0.0007812394264218798,0.0011410189661349374,0.49726027397260275,20.424841048505904,-3.1950345375704368,17520,753360,8.6,8.6,0.0,0,0.0
signal_v0_family_balanced_diagnostic__24h__original_no_guard,signal_v0_family_balanced_diagnostic,24h,original,no_guard,0.033955248935282,0.03640663518024133,19.496424121399436,0.5585446652958648,-0.0066170202201557785,-0.001211218819400544,-0.006287054240748765,-0.005075713334183808,-0.006608122517221253,0.483664610463788,-115.85079001448737,-117.95614989370486,17508,752844,8.6,8.6,0.5798617226570993,12,0.0006849315068493151
signal_v0_family_balanced_diagnostic__24h__original_bucket0_guard,signal_v0_family_balanced_diagnostic,24h,original,bucket0_guard,0.033955248935282,0.03640663518024133,19.496424121399436,0.5585446652958648,-0.003081514231038145,-0.00043463780013371957,-0.0028567994528936745,-0.002208540009739127,-0.003074993709652283,0.49303175691112633,-53.951151157015836,-59.2434390403978,17508,752844,8.6,8.6,0.0,12,0.0006849315068493151
signal_v0_family_balanced_diagnostic__24h__inverted_no_guard,signal_v0_family_balanced_diagnostic,24h,inverted,no_guard,-0.033955248935282,-0.03640663518024133,-19.496424121399436,0.44088416723783413,0.0066170202201557785,0.001211218819400544,0.006287054240748767,0.005075713334183779,0.006608122517221251,0.516335389536212,115.85079001448737,-9.805197843931644,17508,752844,8.6,8.6,0.5798617226570993,12,0.0006849315068493151
signal_v0_family_balanced_diagnostic__24h__inverted_bucket0_guard,signal_v0_family_balanced_diagnostic,24h,inverted,bucket0_guard,-0.033955248935282,-0.03640663518024133,-19.496424121399436,0.44088416723783413,0.006468793117383356,0.0009090683858516482,0.006084487403544291,0.004790680273651165,0.006458882962415785,0.512794151245145,113.25562989914779,-10.85307840976818,17508,752844,8.6,8.6,0.0,12,0.0006849315068493151
signal_v0_family_balanced_diagnostic__72h__original_no_guard,signal_v0_family_balanced_diagnostic,72h,original,no_guard,0.024628155954686155,0.026001473498692633,14.043882701645094,0.5406071019473081,-0.016460809237928833,-0.0040930294483943405,-0.01602148883855855,-0.013774665698433127,-0.016439428087721288,0.4699312714776632,-287.4057292942374,-296.6561968676639,17460,750780,8.6,8.6,0.578149393889976,60,0.003424657534246575
signal_v0_family_balanced_diagnostic__72h__original_bucket0_guard,signal_v0_family_balanced_diagnostic,72h,original,bucket0_guard,0.024628155954686155,0.026001473498692633,14.043882701645094,0.5406071019473081,-0.007774328497188011,-0.002068411624185508,-0.007367362913708711,-0.005978464914102282,-0.007758688678108031,0.4793814432989691,-135.73977556090267,-150.12971169543096,17460,750780,8.6,8.6,0.0,60,0.003424657534246575
signal_v0_family_balanced_diagnostic__72h__inverted_no_guard,signal_v0_family_balanced_diagnostic,72h,inverted,no_guard,-0.024628155954686155,-0.026001473498692633,-14.043882701645094,0.458991981672394,0.016460809237928833,0.0040930294483943405,0.01602148883855855,0.013774665698433117,0.01643942808772129,0.5300687285223368,287.4057292942374,-31.64867505930864,17460,750780,8.6,8.6,0.578149393889976,60,0.003424657534246575
signal_v0_family_balanced_diagnostic__72h__inverted_bucket0_guard,signal_v0_family_balanced_diagnostic,72h,inverted,bucket0_guard,-0.024628155954686155,-0.026001473498692633,-14.043882701645094,0.458991981672394,0.016711210710703788,0.004071800376836982,0.01628773232962291,0.014233873481140727,0.01669693403153019,0.5313287514318442,291.77773900888815,-34.67549914306474,17460,750780,8.6,8.6,0.0,60,0.003424657534246575
