factor_id,symbol,selected_rows,missing_rows,missing_rate
mom_20h,ALCHUSDT,1464,0,0.0
mom_20h,ALGOUSDT,744,0,0.0
mom_20h,TURBOUSDT,4440,0,0.0
mom_20h,ALPINEUSDT,744,0,0.0
mom_20h,ANIMEUSDT,744,0,0.0
mom_20h,APEUSDT,2208,0,0.0
mom_20h,API3USDT,1440,0,0.0
mom_20h,APTUSDT,5136,0,0.0
mom_20h,ARCUSDT,2208,0,0.0
mom_20h,ARIAUSDT,744,0,0.0
mom_20h,ARKUSDT,720,0,0.0
mom_20h,ASTERUSDT,5377,0,0.0
mom_20h,ATUSDT,744,0,0.0
mom_20h,AUCTIONUSDT,720,0,0.0
mom_20h,AVNTUSDT,1464,0,0.0
mom_20h,AXSUSDT,1416,0,0.0
mom_20h,AZTECUSDT,744,0,0.0
mom_20h,ALLOUSDT,289,0,0.0
mom_20h,ROBOUSDT,720,0,0.0
mom_20h,RUNEUSDT,1416,0,0.0
mom_20h,RVNUSDT,744,0,0.0
mom_20h,SAGAUSDT,3217,0,0.0
mom_20h,SAHARAUSDT,2208,0,0.0
mom_20h,SANDUSDT,1488,0,0.0
mom_20h,TRUSTUSDT,744,0,0.0
mom_20h,TRUTHUSDT,744,0,0.0
mom_20h,TRXUSDT,7992,0,0.0
mom_20h,TSTUSDT,744,0,0.0
mom_20h,MEMEUSDT,720,0,0.0
mom_20h,UAIUSDT,720,0,0.0
mom_20h,UBUSDT,1033,0,0.0
mom_20h,SOMIUSDT,744,0,0.0
mom_20h,ZILUSDT,744,0,0.0
mom_20h,VIRTUALUSDT,6504,0,0.0
mom_20h,VVVUSDT,2497,0,0.0
mom_20h,WCTUSDT,2208,0,0.0
mom_20h,WLFIUSDT,4344,0,0.0
mom_20h,XAUTUSDT,744,0,0.0
mom_20h,XLMUSDT,5377,0,0.0
mom_20h,XMRUSDT,672,0,0.0
mom_20h,XNYUSDT,720,0,0.0
mom_20h,XPINUSDT,720,0,0.0
mom_20h,XPLUSDT,4368,0,0.0
mom_20h,ZBTUSDT,1488,0,0.0
mom_20h,ZECUSDT,5377,0,0.0
mom_20h,ZENUSDT,2232,0,0.0
mom_20h,ZEREBROUSDT,744,0,0.0
mom_20h,USUALUSDT,1416,0,0.0
mom_20h,TREEUSDT,720,0,0.0
mom_20h,BABYUSDT,744,0,0.0
mom_20h,BANANAS31USDT,2208,0,0.0
mom_20h,BARDUSDT,1464,0,0.0
mom_20h,BASEDUSDT,744,0,0.0
mom_20h,BASUSDT,720,0,0.0
mom_20h,BEATUSDT,2449,0,0.0
mom_20h,BERAUSDT,2880,0,0.0
mom_20h,BIGTIMEUSDT,1464,0,0.0
mom_20h,BILLUSDT,289,0,0.0
mom_20h,BIOUSDT,3169,0,0.0
mom_20h,BIRBUSDT,744,0,0.0
mom_20h,BLESSUSDT,720,0,0.0
mom_20h,LABUSDT,289,0,0.0
mom_20h,BROCCOLI714USDT,672,0,0.0
mom_20h,BRUSDT,720,0,0.0
mom_20h,BSBUSDT,1033,0,0.0
mom_20h,BULLAUSDT,1488,0,0.0
mom_20h,BUSDT,289,0,0.0
mom_20h,CAKEUSDT,2184,0,0.0
mom_20h,CATIUSDT,1464,0,0.0
mom_20h,CFXUSDT,744,0,0.0
mom_20h,CGPTUSDT,672,0,0.0
mom_20h,CHIPUSDT,1033,0,0.0
mom_20h,CKBUSDT,744,0,0.0
mom_20h,CLOUSDT,672,0,0.0
mom_20h,COAIUSDT,720,0,0.0
mom_20h,COOKIEUSDT,720,0,0.0
mom_20h,BREVUSDT,672,0,0.0
mom_20h,0GUSDT,1488,0,0.0
mom_20h,1000LUNCUSDT,744,0,0.0
mom_20h,1000RATSUSDT,2952,0,0.0
mom_20h,1MBABYDOGEUSDT,2208,0,0.0
mom_20h,2ZUSDT,720,0,0.0
mom_20h,SEIUSDT,3696,0,0.0
mom_20h,SENTUSDT,672,0,0.0
mom_20h,SIGNUSDT,720,0,0.0
mom_20h,SIRENUSDT,2208,0,0.0
mom_20h,SKLUSDT,720,0,0.0
mom_20h,SKYAIUSDT,1033,0,0.0
mom_20h,AGLDUSDT,672,0,0.0
mom_20h,SOONUSDT,1464,0,0.0
mom_20h,SOPHUSDT,744,0,0.0
mom_20h,TRADOORUSDT,1488,0,0.0
mom_20h,SPELLUSDT,672,0,0.0
mom_20h,SPKUSDT,2208,0,0.0
mom_20h,SPXUSDT,744,0,0.0
mom_20h,STABLEUSDT,744,0,0.0
mom_20h,STBLUSDT,744,0,0.0
mom_20h,STOUSDT,744,0,0.0
mom_20h,STRKUSDT,1488,0,0.0
mom_20h,STXUSDT,744,0,0.0
mom_20h,SUNUSDT,1464,0,0.0
mom_20h,SUSDT,744,0,0.0
mom_20h,SWARMSUSDT,1416,0,0.0
mom_20h,TAOUSDT,11185,0,0.0
mom_20h,TAUSDT,744,0,0.0
mom_20h,TNSRUSDT,744,0,0.0
mom_20h,SPACEUSDT,744,0,0.0
mom_20h,HUSDT,2208,0,0.0
mom_20h,HYPERUSDT,744,0,0.0
mom_20h,HYPEUSDT,8329,0,0.0
mom_20h,ICPUSDT,744,0,0.0
mom_20h,INITUSDT,2208,0,0.0
mom_20h,INJUSDT,3961,0,0.0
mom_20h,IOUSDT,2952,0,0.0
mom_20h,IPUSDT,2880,0,0.0
mom_20h,JELLYJELLYUSDT,1488,0,0.0
mom_20h,JUPUSDT,1416,0,0.0
mom_20h,KAITOUSDT,2184,0,0.0
mom_20h,KATUSDT,744,0,0.0
mom_20h,KERNELUSDT,744,0,0.0
