factor_i,factor_j,family_i,family_j,same_family,tier_i,tier_j,pearson_corr,spearman_corr,abs_spearman_corr,n_pairwise_obs,redundancy_level
rev_3h,breakout_dist_20h,reversal,breakout,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.379148,-0.555824,0.555824,214111,LOW_REDUNDANCY
rev_3h,breakout_dist_48h,reversal,breakout,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.295998,-0.404443,0.404443,212711,LOW_REDUNDANCY
rev_3h,candle_body,reversal,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.309243,-0.467934,0.467934,214911,LOW_REDUNDANCY
rev_3h,candle_wick_upper,reversal,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.037901,-0.086617,0.086617,214911,LOW_REDUNDANCY
rev_3h,candle_wick_lower,reversal,intraday_candle,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,0.058516,0.103381,0.103381,214911,LOW_REDUNDANCY
rev_3h,xs_rank_ret_1h,reversal,cross_sectional_normalized,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,-0.294443,-0.376513,0.376513,214911,LOW_REDUNDANCY
rev_3h,xs_rank_vol,reversal,cross_sectional_normalized,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.012643,0.005686,0.005686,214111,LOW_REDUNDANCY
rev_10h,rev_24h,reversal,reversal,True,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_2_PROMISING_BUT_NEEDS_REVIEW,0.661119,0.568465,0.568465,213861,LOW_REDUNDANCY
rev_10h,vol_5h,reversal,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.159419,-0.040402,0.040402,214561,LOW_REDUNDANCY
rev_10h,vol_40h,reversal,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.108484,0.00292,0.00292,213061,LOW_REDUNDANCY
rev_10h,vol_ratio_5_20,reversal,volatility,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_3_WEAK_DIAGNOSTIC,-0.05005,-0.05241,0.05241,214061,LOW_REDUNDANCY
rev_10h,range_1h,reversal,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.09691,-0.04376,0.04376,214561,LOW_REDUNDANCY
rev_10h,range_4h,reversal,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,-0.016857,-0.024296,0.024296,214561,LOW_REDUNDANCY
rev_10h,range_24h,reversal,range_position,False,TIER_2_PROMISING_BUT_NEEDS_REVIEW,TIER_1_STABLE_DIAGNOSTIC,0.084596,0.033308,0.033308,213911,LOW_REDUNDANCY
