factor_name,category,expected_direction,horizon,period,bucket,bucket_label,mean_forward_return,median_forward_return,n_timestamps,n_obs,status
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-03,3,Q4,-6.762e-05,5.29e-05,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-03,4,Q5,9.33e-05,-3.594e-05,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-04,0,Q1,0.00016479,-9.856e-05,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-04,1,Q2,0.00033869,0.00025989,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-04,2,Q3,0.00053704,0.00039102,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-04,3,Q4,0.00044681,0.00025548,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-04,4,Q5,0.00014504,0.00015083,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-05,0,Q1,-4.33e-05,0.00035867,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-05,1,Q2,0.00016502,0.00041122,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-05,2,Q3,0.00018977,0.00066619,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-05,3,Q4,0.00010698,0.00036306,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-05,4,Q5,4.625e-05,0.00034198,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-06,0,Q1,-0.00058897,6.08e-06,288,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-06,1,Q2,-0.00031073,-0.00028813,288,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-06,2,Q3,-0.00029604,0.00018676,288,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-06,3,Q4,-0.00020305,-4.369e-05,288,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,1h,2026-06,4,Q5,-0.00025277,0.00022656,288,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-06,0,Q1,0.00070348,0.00018655,274,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-06,1,Q2,0.00049762,-0.0005406,274,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-06,2,Q3,2.315e-05,-1.838e-05,274,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-06,3,Q4,0.00017686,-0.00055857,274,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-06,4,Q5,0.0004489,0.00028263,274,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-07,0,Q1,-4.91e-05,0.00052819,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-07,1,Q2,-0.0004733,0.00043645,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-07,2,Q3,-0.00046348,0.00072931,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-07,3,Q4,-0.00015293,0.00122811,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-07,4,Q5,0.00030139,0.00070165,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-08,0,Q1,-0.00096666,0.00037193,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-08,1,Q2,-0.0011662,0.00048221,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-08,2,Q3,-0.00088527,0.00053701,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-08,3,Q4,-0.00058013,0.00027644,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-08,4,Q5,-0.0004866,0.00042952,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-09,0,Q1,0.00116742,0.00088093,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-09,1,Q2,0.00114532,0.00102044,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-09,2,Q3,0.00147,0.00104659,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-09,3,Q4,0.00127991,0.00061342,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-09,4,Q5,0.00116289,0.00108682,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-10,0,Q1,-0.00018215,0.00102507,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-10,1,Q2,-0.0004302,0.00109073,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-10,2,Q3,-0.00023737,0.00058258,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-10,3,Q4,-0.00012202,0.00055726,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-10,4,Q5,-0.00011787,0.0006063,744,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-11,0,Q1,0.00288258,0.00281671,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-11,1,Q2,0.00354154,0.00291437,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-11,2,Q3,0.00295539,0.00327872,720,,DIRECTION_UNKNOWN
a101_volume_cap_alpha_min_80_80,alpha101_curated_volume_cap_regression,conditional,4h,2024-11,3,Q4,0.00324887,0.00332994,720,,DIRECTION_UNKNOWN
