factor_name,category,expected_direction,status,used_in_current_signal,required_columns,lookback_window,best_adj_ic_horizon,best_adj_ic,best_direction_adjusted_icir_horizon,best_direction_adjusted_icir,best_long_short_horizon,best_long_short_spread,best_long_short_t_stat,best_after_funding_long_short_horizon,best_after_funding_long_short_spread,best_after_funding_coverage_rate,best_bucket_tail_diagnosis,best_after_funding_bucket_tail_diagnosis,funding_adjusted_edge_flip,best_ic_win_rate_adjusted,coverage_min,missing_rate_max,direction_status,rankic_longshort_consistency,review_bucket,review_reasons,review_notes
wq101_alpha81,wq101,conditional,DIRECTION_UNKNOWN,False,volume|quote_volume,82,24h,0.0148676,24h,0.144865,72h,-0.00059979,-2.1874,72h,-0.00094197,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.5588,2548445,0.228173,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha84,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume|quote_volume,35,4h,0.01695108,4h,0.142518,72h,-0.0026541,-8.6529,72h,-0.0028282,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5611,3298067,0.001141,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha98,wq101,conditional,DIRECTION_UNKNOWN,False,open|volume|quote_volume,55,72h,-0.00253088,72h,-0.017532,72h,0.00134792,2.9199,72h,0.00152191,1.0,DIRECTIONALLY_CLEAN_THIN_EDGE,DIRECTIONALLY_CLEAN_THIN_EDGE,False,0.4988,1786138,0.459047,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha6,wq101,conditional,DIRECTION_UNKNOWN,False,open|volume,10,24h,0.02346183,24h,0.209819,72h,-0.00100174,-3.2275,72h,-0.0015541,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.5881,3304968,0.003405,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Conditional direction but shows IC signal strength.
wq101_alpha9,wq101,conditional,DIRECTION_UNKNOWN,False,close,6,1h,0.01638734,1h,0.145273,72h,-0.00039444,-1.3547,72h,-0.00042227,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5659,3314929,0.000401,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha21,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume,20,1h,0.00783107,1h,0.075058,72h,-0.00026199,-1.0319,72h,-0.00029349,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.5287,3311205,0.001524,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha41,wq101,conditional,DIRECTION_UNKNOWN,False,high|low|volume|quote_volume,1,1h,0.00349351,1h,0.035096,72h,-0.00047758,-1.7136,72h,-0.00054266,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.5166,3307213,0.002728,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Conditional direction; weak or no clear IC signal.
wq101_alpha54,wq101,conditional,DIRECTION_UNKNOWN,False,open|high|low|close,1,1h,0.02872677,1h,0.239091,72h,0.00043079,1.4324,72h,0.00050094,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,False,0.6075,3307213,0.002728,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction but shows IC signal strength.
wq101_alpha23,wq101,conditional,DIRECTION_UNKNOWN,False,high,20,4h,0.01168064,4h,0.105088,72h,-0.00161063,-5.5781,72h,-0.00176117,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5442,3311205,0.001524,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha24,wq101,conditional,DIRECTION_UNKNOWN,False,close,200,72h,-0.03055915,72h,-0.232737,72h,-0.00139163,-4.7745,72h,-0.00144309,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5018,3263325,0.015962,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,,Conditional direction but shows IC signal strength.
wq101_alpha46,wq101,conditional,DIRECTION_UNKNOWN,False,close,21,1h,0.01540313,1h,0.132743,72h,-0.00148422,-5.1088,72h,-0.00164945,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.5583,3310939,0.001604,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction; weak or no clear IC signal.
wq101_alpha49,wq101,conditional,DIRECTION_UNKNOWN,False,close,21,1h,0.02084219,1h,0.181903,72h,-0.00048789,-1.6784,72h,-0.0005507,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,True,0.5769,3310939,0.001604,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|funding-adjusted edge flips|mean_spread_outlier_dominated,Conditional direction but shows IC signal strength.
wq101_alpha51,wq101,conditional,DIRECTION_UNKNOWN,False,close,21,1h,0.02108879,1h,0.184659,72h,-0.00033558,-1.1564,72h,-0.00037529,1.0,MEAN_SPREAD_OUTLIER_DOMINATED,MEAN_SPREAD_OUTLIER_DOMINATED,False,0.578,3310939,0.001604,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict|after_funding_mean_spread_outlier_dominated|mean_spread_outlier_dominated,Conditional direction but shows IC signal strength.
wq101_alpha32,wq101,conditional,DIRECTION_UNKNOWN,False,close|volume|quote_volume,235,4h,0.00146273,4h,0.011531,24h,0.00024906,1.7182,24h,0.00029219,1.0,MIXED_OR_WEAK,MIXED_OR_WEAK,True,0.502,3244267,0.021709,CONDITIONAL,CONSISTENT,CONDITIONAL_DIRECTION_REVIEW,funding-adjusted edge flips,Conditional direction; weak or no clear IC signal.
wq101_alpha33,wq101,conditional,DIRECTION_UNKNOWN,False,open|close,1,1h,0.03655526,1h,0.230325,72h,-0.00133431,-3.7108,72h,-0.00140303,1.0,ROBUST_SPREAD_NEGATIVE,ROBUST_SPREAD_NEGATIVE,False,0.6074,3316259,0.0,CONDITIONAL,DIVERGENT,CONDITIONAL_DIRECTION_REVIEW,RankIC/spread direction conflict,Conditional direction but shows IC signal strength.
