factor_name,category,expected_direction,direction_source,horizon,raw_mean_rank_ic,direction_adjusted_mean_rank_ic,after_funding_raw_mean_rank_ic,after_funding_direction_adjusted_mean_rank_ic,after_funding_t_stat,after_funding_n_periods,t_stat,n_periods,n_symbols_avg,coverage,missing_rate,used_in_current_signal,status,notes
wq101_alpha15,wq101,conditional,factor_registry,4h,0.00237204,0.00237204,0.00234154,0.00234154,3.4421,17800,3.4861,17800,149.9,2668015,0.195409,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved"
wq101_alpha15,wq101,conditional,factor_registry,24h,0.00374642,0.00374642,0.00366647,0.00366647,5.4577,17780,5.5802,17780,149.9,2668015,0.195409,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved"
wq101_alpha15,wq101,conditional,factor_registry,72h,0.004495,0.004495,0.00437444,0.00437444,6.5595,17732,6.7511,17732,149.9,2668015,0.195409,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#15: -sum(rank(correlation(rank(high),rank(volume),3)),3); panel rank semantics preserved"
wq101_alpha16,wq101,conditional,factor_registry,1h,0.01114682,0.01114682,0.01093012,0.01093012,16.8697,17802,17.2063,17802,186.2,3315183,0.000243,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#16: -rank(covariance(rank(high),rank(volume),5)); panel rank semantics preserved"
wq101_alpha16,wq101,conditional,factor_registry,4h,0.0164169,0.0164169,0.01599654,0.01599654,24.5792,17800,25.233,17800,186.2,3315183,0.000243,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#16: -rank(covariance(rank(high),rank(volume),5)); panel rank semantics preserved"
wq101_alpha16,wq101,conditional,factor_registry,24h,0.02371484,0.02371484,0.02283251,0.02283251,34.7567,17780,36.0913,17780,186.2,3315183,0.000243,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#16: -rank(covariance(rank(high),rank(volume),5)); panel rank semantics preserved"
wq101_alpha16,wq101,conditional,factor_registry,72h,0.0209577,0.0209577,0.01971375,0.01971375,30.0535,17732,31.9854,17732,186.2,3315183,0.000243,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#16: -rank(covariance(rank(high),rank(volume),5)); panel rank semantics preserved"
wq101_alpha17,wq101,conditional,factor_registry,1h,0.02133886,0.02133886,0.0214972,0.0214972,24.389,17783,24.2073,17783,185.6,3301205,0.004459,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#17: -rank(ts_rank(close,10))*rank(delta(delta(close,1),1))*rank(ts_rank(volume/adv20,5))"
wq101_alpha17,wq101,conditional,factor_registry,4h,0.01862864,0.01862864,0.01896586,0.01896586,21.5447,17781,21.1597,17781,185.6,3301205,0.004459,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#17: -rank(ts_rank(close,10))*rank(delta(delta(close,1),1))*rank(ts_rank(volume/adv20,5))"
wq101_alpha17,wq101,conditional,factor_registry,24h,0.00749069,0.00749069,0.0082583,0.0082583,9.4519,17761,8.5726,17761,185.6,3301205,0.004459,False,DIRECTION_UNKNOWN,"WorldQuant 101 Alpha#17: -rank(ts_rank(close,10))*rank(delta(delta(close,1),1))*rank(ts_rank(volume/adv20,5))"
